ID,SC,WC,NC,LC
8602872-3551599565-72157618630101298,1,34,1,2
8602872-3551599565-72157618631516818,4,63,3,0
8602872-3551599565-72157618632185832,2,56,4,0
8602872-3551599565-72157618632707436,5,38,3,3
8602872-3551599565-72157618551273841,3,34,2,0
8602872-3551599565-72157618638171328,2,30,0,0
8602872-3551599565-72157618643515850,5,74,3,0
8602872-3551599565-72157618560837459,5,79,2,2
8602872-3551599565-72157618564339873,1,31,4,2
8602872-3551599565-72157618655062682,4,59,4,0
8602872-3551599565-72157618655511182,5,84,1,0
8602872-3551599565-72157618574771429,2,50,3,0
8602872-3551599565-72157618585490795,6,71,0,0
8602872-3551599565-72157618683935926,11,150,6,0
8602872-3551599565-72157618608113685,1,71,9,0
8602872-3551599565-72157618703155478,4,36,0,1
8602872-3551599565-72157618639592069,4,71,6,0
8602872-3551599565-72157618725708034,1,32,3,2
8602872-3551599565-72157618727848862,3,28,3,0
8602872-3551599565-72157618663372033,1,34,1,0
8602872-3551599565-72157618786451102,3,31,0,0
8602872-3551599565-72157618797304406,5,38,0,2
8602872-3551599565-72157618866659412,1,34,2,1
8602872-3551599565-72157618946803625,3,70,1,0
8602872-3551599565-72157619286392367,3,43,7,2
8602872-3551599565-72157619567123423,4,157,8,2
8602872-3551599565-72157619583623897,5,85,8,1
8602872-3551599565-72157619674593108,2,53,9,0
8602872-3551599565-72157619899357605,1,29,0,1
8602872-3551599565-72157620823945786,2,38,5,0
8602872-3551599565-72157621652537979,5,76,4,3
8602872-3551599565-72157621655664181,4,38,0,2
8602872-3551599565-72157621803049858,2,36,0,0
8602872-3551599565-72157621987985808,1,31,0,1
8602872-3551599565-72157622055956990,3,45,2,0
8602872-3551599565-72157621980439051,5,47,0,3
8602872-3551599565-72157622244481196,4,27,2,2
8602872-3551599565-72157622267306368,3,29,0,0
8602872-3551599565-72157622357750621,4,74,1,0
8602872-3551599565-72157622376068655,1,40,3,0
8602872-3551599565-72157622505726872,1,52,1,0
8602872-3551599565-72157622517608296,1,34,1,0
8602872-3551599565-72157622457989237,7,117,4,1
8602872-3551599565-72157622614405450,2,30,0,0
8602872-3551599565-72157622505317881,3,45,0,0
8602872-3551599565-72157622638817850,2,34,1,1
